feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
all_features,Finegoldia,,,,0.0,0.0006143438914027149,131,True
all_features,Firmicutes_unclassified,,,,0.10673362499999998,0.17966457013574655,132,True
all_features,Flavonifractor,,,,0.1410744375,0.09331303167420815,133,True
all_features,Fournierella,,,,0.00177275,0.0009170588235294119,134,True
all_features,Frisingicoccus,,,,0.030527875000000003,0.0465258371040724,135,True
all_features,Fructilactobacillus,,,,0.00045650000000000004,1.4298642533936651e-05,136,True
all_features,Fumia,,,,0.00034100000000000005,0.0008647058823529412,137,True
all_features,Fusicatenibacter,,,,1.3854571249999998,1.5289561990950227,138,True
all_features,Fusobacterium,,,,0.0048001875,0.0009288687782805429,139,True
all_features,Gardnerella,,,,0.000138,0.0004055656108597285,140,True
all_features,Gehongia,,,,2.6250000000000003e-06,3.484162895927602e-06,141,True
all_features,Gemella,,,,0.0006409375,0.0036404524886877823,142,True
all_features,Gemmiger,,,,1.0276451875000001,0.8661707692307692,143,True
all_features,GGB1010,,,,5.3124999999999995e-06,0.0,144,True
all_features,GGB105,,,,0.001453125,0.00025665158371040726,145,True
all_features,GGB1066,,,,0.0,0.005098009049773756,146,True
all_features,GGB10692,,,,0.002778,0.0009752036199095022,147,True
all_features,GGB10693,,,,0.0033010625,0.003943574660633485,148,True
all_features,GGB10708,,,,0.0,0.011259592760180997,149,True
all_features,GGB1093,,,,0.002310125,0.0124637556561086,150,True
all_features,GGB1096,,,,0.0025165625,0.0021172398190045247,151,True
all_features,GGB1101,,,,0.0,0.010412262443438914,152,True
all_features,GGB1102,,,,0.0048469375000000006,0.0,153,True
all_features,GGB1109,,,,5.3124999999999995e-06,0.0,154,True
all_features,GGB1110,,,,0.0029962499999999998,0.04537891402714932,155,True
all_features,GGB1116,,,,0.0,0.00065,156,True
all_features,GGB1123,,,,0.0961131875,0.00047687782805429864,157,True
all_features,GGB1146,,,,0.0219464375,0.046608235294117645,158,True
all_features,GGB1147,,,,0.040424875,0.00020366515837104074,159,True
all_features,GGB1148,,,,0.013282312499999999,0.00011049773755656108,160,True
all_features,GGB1153,,,,0.01272725,0.009514298642533937,161,True
all_features,GGB1154,,,,0.0092750625,0.006333665158371041,162,True
all_features,GGB1215,,,,0.0008110624999999999,0.0001914932126696833,163,True
all_features,GGB1219,,,,0.0,0.018865972850678734,164,True
all_features,GGB1221,,,,0.0,0.00023271493212669681,165,True
all_features,GGB1223,,,,0.0,0.0016334841628959276,166,True
all_features,GGB12293,,,,0.0,0.002044570135746606,167,True
all_features,GGB1239,,,,0.0061715,0.057147601809954755,168,True
all_features,GGB1243,,,,0.002049375,9.131221719457013e-05,169,True
all_features,GGB1246,,,,0.0022979375,0.00015076923076923077,170,True
all_features,GGB1247,,,,0.050027375000000006,0.012086108597285069,171,True
all_features,GGB1248,,,,0.011235499999999999,0.0028635746606334844,172,True
all_features,GGB1249,,,,0.0001794375,0.00047542986425339365,173,True
all_features,GGB1256,,,,0.053255750000000004,0.0,174,True
all_features,GGB1264,,,,2.9062499999999998e-05,0.08963339366515836,175,True
all_features,GGB1266,,,,0.01961,0.06643239819004525,176,True
all_features,GGB12785,,,,0.000505125,0.0001782352941176471,177,True
all_features,GGB12786,,,,0.0,5.4298642533936655e-05,178,True
all_features,GGB12788,,,,0.0,7.339366515837103e-05,179,True
all_features,GGB12972,,,,0.0,0.0033361538461538463,180,True
all_features,GGB12985,,,,0.00126975,0.00015285067873303167,181,True
all_features,GGB13009,,,,0.0,0.0007829864253393665,182,True
all_features,GGB13020,,,,0.0,0.0015485520361990949,183,True
all_features,GGB13147,,,,0.02039475,0.0015872398190045248,184,True
all_features,GGB13283,,,,0.0031019375,0.009811357466063346,185,True
all_features,GGB1331,,,,0.0034083749999999995,0.0,186,True
all_features,GGB1332,,,,0.004771875,0.0018220361990950226,187,True
all_features,GGB13357,,,,0.0,0.0022758823529411766,188,True
all_features,GGB13393,,,,0.00019668749999999998,0.0,189,True
all_features,GGB13402,,,,0.001137875,0.004827194570135747,190,True
all_features,GGB13404,,,,0.0069559375,0.0017415384615384615,191,True
all_features,GGB1341,,,,0.0,0.00026266968325791855,192,True
all_features,GGB13437,,,,0.0002470625,0.0,193,True
all_features,GGB1345,,,,0.0,0.000992081447963801,194,True
all_features,GGB13463,,,,4.8125e-06,0.0005846153846153847,195,True
all_features,GGB13472,,,,2.7062499999999997e-05,0.0,196,True
